Line: RED
02/2019,5165431
03/2019,5655683
04/2019,5742033
05/2019,6012374
06/2019,5833120
07/2019,5828554
08/2019,5902564
09/2019,5909474
10/2019,6585140
11/2019,5395050
12/2019,4729310
01/2020,5554156
02/2020,5140088
03/2020,2952364
04/2020,501418
05/2020,537860
06/2020,783877
Line: Y
Month,# Station Entries
01/2016,411828
02/2016,404724
03/2016,463050
04/2016,453334
05/2016,470492
06/2016,484428
07/2016,485818
08/2016,497940
09/2016,494552
10/2016,514704
11/2016,468796
12/2016,413872
01/2017,417092
02/2017,410374
03/2017,462152
04/2017,448518
05/2017,481384
06/2017,497252
07/2017,482744
08/2017,506008
09/2017,479330
10/2017,493504
11/2017,435902
12/2017,400450
01/2018,403352
02/2018,380950
03/2018,431434
04/2018,431232
05/2018,459540
06/2018,452780
07/2018,470130
08/2018,485626
09/2018,459048
10/2018,480724
11/2018,417556
12/2018,384054
01/2019,369250
02/2019,370710
03/2019,404556
04/2019,420792
05/2019,442094
06/2019,442082
07/2019,436454
08/2019,445942
09/2019,427990
10/2019,448118
11/2019,390110
12/2019,368106
01/2020,377172
02/2020,352088
03/2020,244602
04/2020,91452
05/2020,93626
06/2020,108000
Line: Pnk
Month,# Station Entries
01/2016,2629793
02/2016,2594970
03/2016,2990458
04/2016,2820357
05/2016,2901141
06/2016,3046992
07/2016,3010789
08/2016,3039231
09/2016,3065824
10/2016,3106621
11/2016,2891085
12/2016,2469300
01/2017,2621310
02/2017,2543590
03/2017,2916704
04/2017,2699860
05/2017,2925371
06/2017,3012055
07/2017,2882535
08/2017,3094393
09/2017,3253161
10/2017,3409112
11/2017,3082299
12/2017,2663466
01/2018,2849403
02/2018,2706662
03/2018,3142457
04/2018,2992367
05/2018,3219829
06/2018,3229269
07/2018,3295512
08/2018,3432907
09/2018,3276702
10/2018,3621002
11/2018,3055341
12/2018,2647617
01/2019,2662298
02/2019,2733407
03/2019,3031951
04/2019,3089605
05/2019,3237326
06/2019,3146654
07/2019,3312656
08/2019,3304216
09/2019,3252914
10/2019,3555668
11/2019,2960244
12/2019,2697806
01/2020,2976890
02/2020,2782298
03/2020,1673390
04/2020,338772
05/2020,349390
06/2020,492729
Line: O
Month,# Station Entries
01/2016,3224959
02/2016,3231402
03/2016,3769046
04/2016,3622051
05/2016,3723267
06/2016,3879502
07/2016,3868355
08/2016,3858649
09/2016,3870118
10/2016,4030411
11/2016,3723303
12/2016,3174380
01/2017,3251864
02/2017,3203792
03/2017,3686230
04/2017,3440726
05/2017,3710581
06/2017,3849991
07/2017,3663355
08/2017,3993943
09/2017,4088069
10/2017,4288172
11/2017,3841849
12/2017,3329074
01/2018,3441287
02/2018,3278922
03/2018,3811363
04/2018,3673959
05/2018,3947511
06/2018,3909097
07/2018,3960340
08/2018,4148735
09/2018,3956610
10/2018,4420566
11/2018,3747265
12/2018,3255025
01/2019,3154166
02/2019,3261833
03/2019,3638029
04/2019,3700419
05/2019,3881404
06/2019,3778248
07/2019,3944578
08/2019,3971624
09/2019,3936368
10/2019,4324978
11/2019,3565256
12/2019,3279174
01/2020,3454960
02/2020,3264526
03/2020,1989140
04/2020,409862
05/2020,415680
06/2020,592389
Year,Increase/Decrease from previous year
2002,+40641
2003,-48394
2004,-22408
2005,+41922
2006,-12652
2007,-95722
2008,+79496
2009,+89848
2010,+67166
2011,+55111
2012,+55237
2013,-22397
2014,+12520
2015,-6307
2016,-40793
2017,-78778
2018,-21721
2019,-16683
2020,-1256466
